rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range
-1.1525999999999998,8,42397696,7.88,1,239,,,,,,,,,,
-0.7492,10,42399744,8.21,1,189,0.024860324,-0.03471793325152248,207020,0.0003,-1.1697146415710449,2.0236432194709777,0.180712890625,0.13398748636245728,0.9422318339347839,0.2
-0.8444000000000002,11,42401792,8.72,1,177,0.019131936,-0.033311792113818225,207030,0.0003,-1.149606665968895,1.901287180185318,0.1666015625,0.18512433767318726,0.8282762765884399,0.2
-0.8788000000000001,10,42403840,9.44,1,187,0.022775933,-0.03527431384427473,207040,0.0003,-1.1699587523937225,1.8037529230117797,0.170068359375,0.22151488065719604,0.7239656448364258,0.2
-0.9024000000000002,11,42405888,9.87,1,185,0.022264235,-0.035296148096676916,207050,0.0003,-1.313361895084381,1.5991891950368882,0.17255859375,0.23375821113586426,0.6973170638084412,0.2
-0.9416,10,42407936,7.83,1,187,0.026193881,-0.03724077758379281,207060,0.0003,-1.3956857770681381,1.4961657047271728,0.181591796875,0.2792177200317383,0.6345866322517395,0.2
-1.0704000000000002,11,42409984,9.27,1,184,0.020803057,-0.032926296268124135,207070,0.0003,-1.24556103348732,1.6120016902685166,0.17431640625,0.33486509323120117,0.6911901831626892,0.2
-0.8734000000000002,9,42412032,8.67,1,216,0.02044215,-0.03374537830241024,207080,0.0003,-1.2596884369850159,1.7715965509414673,0.16123046875,0.22008144855499268,0.7811888456344604,0.2
-1.141,12,42414080,8.3,1,159,0.02011047,-0.03432777746347711,207090,0.0003,-1.3129154205322267,1.5589759737253188,0.176708984375,0.288235068321228,0.7162357568740845,0.2
0.7712,7,42416128,5.94,1,278,0.017796528,-0.031419604062102736,207100,0.0003,-1.2599185764789582,1.2782593369483948,0.16103515625,0.4584084749221802,0.4739052355289459,0.2
0.7634000000000002,7,42418176,5.58,1,273,0.012985611,-0.01188294735038653,207110,0.0003,-0.6104524090886116,0.7362157341092825,0.063037109375,-4.072791576385498,0.033917661756277084,0.2
0.8938000000000003,8,42420224,5.31,1,253,0.026087942,-0.020901223924010993,207120,0.0003,-0.610486526787281,0.17288326676934956,0.141357421875,0.08736914396286011,0.06517420709133148,0.2
0.8596000000000004,7,42422272,5.27,1,257,0.023153838,-0.014659811765886844,207130,0.0003,-0.556395699083805,0.10376662323251366,0.114111328125,0.14815294742584229,0.026032501831650734,0.2
-1.7068,13,42424320,5.59,1,150,0.041132867,-0.015585833240766078,207140,0.0003,-0.5929235249757767,0.069200340192765,0.1484375,0.005824029445648193,0.004281733185052872,0.2
0.283,13,42426368,8.6,1,149,0.15816736,-0.028148357826285064,207150,0.0003,-0.6924490615725517,3.5197348415851595,0.10322265625,-0.09886670112609863,0.9017776250839233,0.2
-0.2694,14,42428416,7.47,1,143,0.019361857,-0.017911199061200023,207160,0.0003,-0.626067841053009,1.4943920716643333,0.05126953125,-0.19364285469055176,0.40688908100128174,0.2
0.6328,13,42430464,7.86,1,150,0.021873236,-0.019691530585987493,207170,0.0003,-0.6461987361311913,1.6619908392429352,0.104638671875,0.0789530873298645,0.7137894034385681,0.2
-0.3796,12,42432512,8.73,1,168,0.010916207,-0.01336633765604347,207180,0.0003,-0.5448807552456856,0.7208926737308502,0.071923828125,0.12837821245193481,0.28914469480514526,0.2
-0.13460000000000008,11,42434560,5.98,1,171,0.019656606,-0.02688270229846239,207190,0.0003,-1.0187533140182494,1.7751097410917283,0.130029296875,0.022405624389648438,0.730211079120636,0.2
0.45480000000000004,11,42436608,6.26,1,171,0.024018172,-0.020198365219403058,207200,0.0003,-0.7599849060177803,1.9579737484455109,0.138037109375,0.04884535074234009,0.8687528371810913,0.2
0.2541999999999999,11,42438656,6.79,1,171,0.01890917,-0.01988582646008581,207210,0.0003,-0.4960352800786495,0.8025435283780098,0.090576171875,0.16727781295776367,0.3760959506034851,0.2
0.4285999999999999,11,42440704,6.82,1,174,0.015776295,-0.017592986091040076,207220,0.0003,-0.4113486260175705,0.9063157707452774,0.076318359375,0.2465531826019287,0.4099161922931671,0.2
0.39779999999999993,11,42442752,6.61,1,173,0.017754115,-0.018594440713059157,207230,0.0003,-0.5166096732020378,1.0012985855340957,0.0923828125,0.11038541793823242,0.45667409896850586,0.2
0.5302,13,42444800,7.74,1,154,0.018583689,-0.020189784769900142,207240,0.0003,-0.4032782778143883,0.8735282346606255,0.074755859375,0.1198354959487915,0.41222530603408813,0.2
-0.16320000000000004,12,42446848,8.41,1,158,0.022743113,-0.017584039049688728,207250,0.0003,-0.4822056911885738,0.6207263961434364,0.075048828125,0.12381511926651001,0.2408730834722519,0.2
0.6706,12,42448896,7.47,1,163,0.016967282,-0.028362245485186576,207260,0.0003,-1.0326933696866036,2.049370604753494,0.139208984375,0.014113306999206543,0.9501376152038574,0.2
0.7343999999999998,12,42450944,6.28,1,163,0.010697963,-0.013449463958386332,207270,0.0003,-0.47204807624220846,0.5168339610099792,0.0626953125,0.0960543155670166,0.1662638783454895,0.2
0.6819999999999999,12,42452992,7.9,1,165,0.01594467,-0.022490485548041762,207280,0.0003,-0.5431138448417187,0.6475611262023449,0.101708984375,0.20466095209121704,0.27694931626319885,0.2
0.5929999999999999,12,42455040,6.1,1,164,0.016668702,-0.01493893718579784,207290,0.0003,-0.48233655765652655,0.4197536610066891,0.06796875,0.10517293214797974,0.14955586194992065,0.2
0.36219999999999997,13,42457088,7.39,1,156,0.021073442,-0.025000741821713746,207300,0.0003,-0.5676374197006225,0.5809529669582844,0.118505859375,0.20794373750686646,0.2154538929462433,0.2
0.2928,12,42459136,6.86,1,167,0.020175843,-0.026702697249129416,207310,0.0003,-0.9401965573430061,1.3963768780231476,0.133935546875,-0.055501580238342285,0.47612884640693665,0.2
0.2792,12,42461184,7.04,1,158,0.017928317,-0.018910144362598656,207320,0.0003,-0.505842587351799,0.9612115025520325,0.103759765625,0.2635396122932434,0.471901535987854,0.2
0.5054,14,42463232,6.98,1,143,0.017273925,-0.019448982062749566,207330,0.0003,-0.4407777488231659,0.8127039790153503,0.085693359375,0.2856426239013672,0.345196396112442,0.2
-0.1814,13,42465280,7.82,1,150,0.014886659,-0.016618402337189763,207340,0.0003,-0.5286965504288673,0.7482104882597923,0.077734375,0.1656772494316101,0.32782629132270813,0.2
0.56,13,42467328,6.0,1,152,0.015985161,-0.02479106665123254,207350,0.0003,-0.9215656280517578,1.805374065041542,0.137548828125,0.13959789276123047,0.7425525188446045,0.2
0.5732,12,42469376,7.09,1,158,0.013715699,-0.019427466148044914,207360,0.0003,-0.5620811089873314,0.7210309118032455,0.09736328125,-0.02628505229949951,0.3030391335487366,0.2
0.5421999999999999,12,42471424,6.14,1,162,0.022386737,-0.016528080916032195,207370,0.0003,-0.513397415727377,0.5195354022085666,0.10517578125,0.14579635858535767,0.18220536410808563,0.2
0.24899999999999994,12,42473472,7.05,1,165,0.034159783,-0.021361480955965816,207380,0.0003,-0.8290350928902626,1.0352934509515763,0.141748046875,-0.2630128860473633,0.4054742753505707,0.2
0.6787999999999998,13,42475520,5.31,1,147,0.02027034,-0.01992540368810296,207390,0.0003,-0.5532026782631874,0.9377112597227096,0.07978515625,0.29187577962875366,0.4610897898674011,0.2
0.21119999999999997,12,42477568,6.69,1,161,0.021536056,-0.013625710300402716,207400,0.0003,-0.6912952408194541,0.9705483555793762,0.075634765625,-0.30309176445007324,0.33348360657691956,0.2
0.6858,13,42479616,5.46,1,149,0.010195967,-0.01903243762208149,207410,0.0003,-0.5623223558068275,0.9599360778927803,0.087255859375,0.24616944789886475,0.36712387204170227,0.2
-0.5875999999999999,12,42481664,6.63,1,162,0.02395466,-0.01420957207446918,207420,0.0003,-0.6944715231657028,0.8793589934706688,0.088330078125,-0.12632572650909424,0.3196287751197815,0.2
0.6325999999999999,12,42483712,6.37,1,162,0.021212794,-0.026353055774234236,207430,0.0003,-0.9600856214761734,2.208563581109047,0.140234375,-0.0032182931900024414,0.951328694820404,0.2
-0.3478,12,42485760,7.39,1,167,0.016131395,-0.021005092258565127,207440,0.0003,-0.5704517558217048,0.8191834583878517,0.093408203125,0.14193785190582275,0.29417911171913147,0.2
-0.17180000000000006,12,42487808,7.84,1,166,0.02822703,-0.01710763534065336,207450,0.0003,-0.9174994558095932,1.8002674013376236,0.108935546875,-0.06684601306915283,0.7764351963996887,0.2
-0.07380000000000003,13,42489856,7.19,1,155,0.033529893,-0.024920138716697692,207460,0.0003,-0.8946635916829109,1.7859307646751403,0.17529296875,-0.04542362689971924,0.8256443738937378,0.2
0.14880000000000002,13,42491904,7.06,1,148,0.02756282,-0.023960750841069967,207470,0.0003,-0.8792157024145126,1.8492942303419113,0.144775390625,0.084503173828125,0.8256742358207703,0.2
0.15579999999999997,13,42493952,7.21,1,146,0.021607965,-0.02071858101990074,207480,0.0003,-0.8266270950436592,1.5973740696907044,0.137158203125,0.11219543218612671,0.802374005317688,0.2
0.6196,13,42496000,8.27,1,148,0.025722105,-0.02935058777220547,207490,0.0003,-0.9621930569410324,1.0687887206673623,0.169873046875,0.07432246208190918,0.4800659120082855,0.2
-0.27800000000000014,13,42498048,6.15,1,148,0.012083884,-0.01457914465572685,207500,0.0003,-0.5927485421299934,0.465456123650074,0.094970703125,-0.11099362373352051,0.14421766996383667,0.2
0.0626,13,42500096,6.87,1,147,0.01687798,-0.014327090349979699,207510,0.0003,-0.7925241187214851,1.818376249074936,0.0896484375,0.2297295331954956,0.801230788230896,0.2
0.5928,14,42502144,8.36,1,140,0.022161666,-0.013584572775289416,207520,0.0003,-0.8262268051505088,1.4174882471561432,0.1244140625,0.3242553472518921,0.6557015180587769,0.2
0.3767999999999999,14,42504192,7.66,1,145,0.01137151,-0.016468246665317564,207530,0.0003,-0.6124917328357696,0.49848102778196335,0.061962890625,-0.30026352405548096,0.1647912859916687,0.2
0.4746000000000001,13,42506240,7.02,1,149,0.031183418,-0.022551746177487075,207540,0.0003,-0.8553939700126648,0.8020072415471077,0.151611328125,0.025843024253845215,0.35852670669555664,0.2
0.5148,13,42508288,7.51,1,150,0.026246702,-0.020191461336798965,207550,0.0003,-0.8535511031746864,0.9849413812160492,0.13642578125,0.0014975666999816895,0.3586927056312561,0.2
-0.09399999999999993,13,42510336,6.45,1,151,0.036256798,-0.020919687813147902,207560,0.0003,-0.8530510798096657,0.6739888802170754,0.183251953125,0.035722553730010986,0.31200358271598816,0.2
0.1772,13,42512384,6.64,1,149,0.012563477,-0.017185767902992664,207570,0.0003,-0.845557214319706,1.7066418439149857,0.103076171875,0.16321498155593872,0.7207275032997131,0.2
0.18500000000000008,12,42514432,6.25,1,165,0.015768984,-0.02475966974743642,207580,0.0003,-0.8292769312858581,1.3850445240736007,0.13544921875,0.24986255168914795,0.6689050793647766,0.2
0.5963999999999999,11,42516480,6.68,1,171,0.07668865,-0.020537202630657704,207590,0.0003,-0.7545661106705666,1.4353094786405562,0.1306640625,0.19919151067733765,0.6786547303199768,0.2
-0.06780000000000008,12,42518528,5.89,1,161,0.022381254,-0.021497194783296435,207600,0.0003,-0.8362906709313392,0.7428285337984561,0.10390625,-0.03631889820098877,0.23627270758152008,0.2
0.4686,12,42520576,6.82,1,163,0.020381061,-0.0225240396335721,207610,0.0003,-0.7430761769413948,1.7097439885139465,0.1349609375,0.17004269361495972,0.7557658553123474,0.2
0.6412,12,42522624,6.19,1,164,0.030610245,-0.017909494671039285,207620,0.0003,-0.8385861158370972,1.033520555496216,0.124072265625,0.06264632940292358,0.4676060676574707,0.2
