time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range
1,14.5,151,13,7720960,-0.09,0.22860431671142578,-0.04299722654977813,-0.007323846220970154,0.17783203125,-3.3155769884586332,0.019315287,0.0003,37690,0.5006852492690086,0.2
1,12.27,177,11,7723008,-0.005399999999999969,0.2655707597732544,-0.042229976860107855,0.0020117461681365967,0.1705078125,-3.3666133522987365,0.018661337,0.0003,37700,0.5223185889422893,0.2
1,15.46,174,11,7725056,-0.06919999999999997,0.18528831005096436,-0.03606053073890507,0.03812597692012787,0.13583984375,-3.1472278356552126,0.015482459,0.0003,37710,0.6211706049740314,0.2
1,15.0,177,11,7727104,0.034999999999999996,0.09821337461471558,-0.04221475182566792,0.0060389041900634766,0.153125,-3.3450256824493407,0.018577028,0.0003,37720,0.5720906481146812,0.2
1,11.9,183,11,7729152,0.327,0.23308342695236206,-0.04650565753690898,-0.005503788590431213,0.176806640625,-3.4344039022922517,0.01945139,0.0003,37730,0.5505496621131897,0.2
1,12.73,181,11,7731200,0.015400000000000004,0.24311983585357666,-0.034894908382557335,0.0691482424736023,0.153173828125,-3.0965451538562774,0.01871093,0.0003,37740,0.5253102459013462,0.2
1,15.02,172,11,7733248,-0.1454,0.19440072774887085,-0.03688509676139802,0.15304842591285706,0.15771484375,-3.202004760503769,0.0154969245,0.0003,37750,0.6717314280569553,0.2
1,11.85,173,11,7735296,0.017999999999999988,0.3569173216819763,-0.0451443302212283,-0.06722418963909149,0.1759765625,-3.4755959093570707,0.018682681,0.0003,37760,0.4500520661473274,0.2
1,13.83,179,11,7737344,0.07340000000000002,0.18100380897521973,-0.035917135514318944,0.1620960533618927,0.142041015625,-3.038777142763138,0.014500823,0.0003,37770,0.7305577531456947,0.2
1,12.44,177,11,7739392,0.24620000000000006,0.19565492868423462,-0.0444952433463186,0.0029088854789733887,0.165576171875,-3.274269646406174,0.020485908,0.0003,37780,0.5122928351163865,0.2
1,12.17,185,11,7741440,0.1666,0.13342857360839844,-0.03968160512158647,-0.02254900336265564,0.182275390625,-3.111888790130615,0.02252847,0.0003,37790,0.4265804588794708,0.2
1,12.75,183,11,7743488,0.12499999999999996,0.12632054090499878,-0.031007906398735942,0.08435826003551483,0.14228515625,-3.0531305849552153,0.017401129,0.0003,37800,0.7018390007317066,0.2
1,12.72,156,13,7745536,0.17059999999999997,0.28987038135528564,-0.03830412422539666,0.024974018335342407,0.13759765625,-3.3035557746887205,0.016372047,0.0003,37810,0.6308823838829994,0.2
1,13.64,152,13,7747584,0.08220000000000001,0.20675915479660034,-0.032201930251903835,0.04878954589366913,0.12998046875,-3.1245444476604463,0.016010549,0.0003,37820,0.6120881117880345,0.2
1,12.58,168,12,7749632,-0.0016000000000000092,0.28231745958328247,-0.04349148070905358,0.036850541830062866,0.16279296875,-3.3966476023197174,0.019266132,0.0003,37830,0.5475465089082718,0.2
1,14.12,189,10,7751680,0.1326,0.2981553077697754,-0.039593872183468194,0.02769291400909424,0.1576171875,-3.167191672325134,0.016145183,0.0003,37840,0.6142348289489746,0.2
1,13.7,189,10,7753728,0.311,0.26451557874679565,-0.04487924196291715,-0.033129483461380005,0.168994140625,-3.322370135784149,0.017217955,0.0003,37850,0.4978836260735989,0.2
1,12.05,190,10,7755776,0.04899999999999999,0.11293268203735352,-0.04681504402542487,0.005219936370849609,0.171630859375,-3.3468537449836733,0.01903236,0.0003,37860,0.5136361248791218,0.2
1,12.11,191,10,7757824,-0.017199999999999983,0.2914083003997803,-0.0397296839626506,-0.02263195812702179,0.1533203125,-3.3052521526813505,0.017894529,0.0003,37870,0.4956661067903042,0.2
1,13.7,187,10,7759872,0.3660000000000001,0.12520325183868408,-0.03551338574616238,0.09646692872047424,0.141796875,-3.069588714838028,0.014583602,0.0003,37880,0.6572818577289581,0.2
1,14.43,187,10,7761920,-0.36860000000000004,0.25604987144470215,-0.03530936443712562,-0.002872362732887268,0.1388671875,-3.1183945715427397,0.015472798,0.0003,37890,0.445447089523077,0.2
1,13.09,177,11,7763968,0.11320000000000001,0.25476235151290894,-0.03929268016945571,0.0171191543340683,0.12490234375,-3.416822147369385,0.017030403,0.0003,37900,0.6051244720816612,0.2
1,13.46,175,11,7766016,0.20579999999999998,0.08038556575775146,-0.03099435893818736,0.03373941779136658,0.12314453125,-3.14106547832489,0.019284736,0.0003,37910,0.651855292916298,0.2
1,13.65,154,13,7768064,0.021999999999999985,0.14319586753845215,-0.03871743399649859,0.01697087287902832,0.162841796875,-3.2874045848846434,0.018089613,0.0003,37920,0.5283677905797959,0.2
1,13.3,165,12,7770112,0.159,0.3123987317085266,-0.04305108503322117,-0.020434603095054626,0.163671875,-3.330143314599991,0.018345816,0.0003,37930,0.4804756663739681,0.2
1,14.89,160,12,7772160,-0.18780000000000002,0.1231505274772644,-0.04545977285597473,-0.061784371733665466,0.1771484375,-3.383238285779953,0.0180583,0.0003,37940,0.47496239468455315,0.2
1,11.81,168,12,7774208,-0.011200000000000022,0.1558436155319214,-0.038394620816688985,0.04095295071601868,0.137255859375,-3.433243179321289,0.019604186,0.0003,37950,0.6900973528623581,0.2
1,9.15,293,6,7776256,0.7770000000000001,0.18652403354644775,-0.030170804355293512,0.1413993090391159,0.14619140625,-3.0575253665447235,0.02016206,0.0003,37960,0.7217298239469528,0.2
1,8.11,289,7,7778304,0.7828,0.05130857229232788,-0.04074526153272018,-0.1554279327392578,0.150439453125,-2.7129088640213013,0.017032884,0.0003,37970,0.10176544599235057,0.2
1,7.54,296,6,7780352,0.8142,0.09125477075576782,-0.03028850450646132,-0.12501725554466248,0.179296875,-2.6683778941631315,0.026163494,0.0003,37980,0.10688628004863858,0.2
1,8.44,291,7,7782400,0.7312000000000001,0.08516824245452881,-0.033374467841349544,-0.14209066331386566,0.206396484375,-2.570136106014252,0.021535764,0.0003,37990,0.0879528765566647,0.2
1,17.51,172,11,7784448,-0.6002,0.22583961486816406,-0.038947654468938706,-0.13125653564929962,0.190966796875,-2.775847840309143,0.019122628,0.0003,38000,0.14155701491981745,0.2
