rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/n_updates,train/learning_rate
10.71,-1.5568000000000004,19767296,1,8,252,,,,,,,,,,
9.39,-1.3266,19769344,1,9,205,-0.0333869633381255,2.5123894095420836,-2.9900670766830446,0.15627175569534302,0.2,0.9109591245651245,0.115576171875,0.014904015,96520,0.0003
10.41,-1.6351,19771392,1,10,190,-0.03530170123558492,2.1585946500301363,-2.9544509172439577,0.3036418557167053,0.2,0.8254945278167725,0.141748046875,0.015963217,96530,0.0003
10.01,-1.2265,19773440,1,10,191,-0.03988381084054708,1.8001759052276611,-3.086672443151474,0.3466581106185913,0.2,0.5808377265930176,0.153369140625,0.015388507,96540,0.0003
10.29,-1.5790000000000004,19775488,1,11,184,-0.03815387317445129,1.9537931084632874,-2.9431131184101105,0.34513455629348755,0.2,0.7915855050086975,0.1443359375,0.015083686,96550,0.0003
10.77,-1.3264000000000002,19777536,1,10,189,-0.03968095139134675,2.0316230565309525,-2.9039841175079344,0.331479012966156,0.2,0.7016102075576782,0.148681640625,0.017050888,96560,0.0003
9.35,-1.8165,19779584,1,10,188,-0.036690945643931626,1.934139496088028,-2.935344582796097,0.3565405607223511,0.2,0.6947092413902283,0.155810546875,0.01870328,96570,0.0003
11.68,-1.1936999999999998,19781632,1,10,190,-0.03663094990188256,1.821815726161003,-2.980882114171982,0.3732030987739563,0.2,0.6537131071090698,0.152197265625,0.01737668,96580,0.0003
10.97,-1.0352000000000001,19783680,1,10,190,-0.037017309328075496,1.8107303619384765,-3.0338051438331606,0.30212557315826416,0.2,0.6676209568977356,0.147509765625,0.01933369,96590,0.0003
10.4,-0.23549999999999993,19785728,1,10,189,-0.03784933974966407,2.0636381268501283,-3.0533108055591582,0.2649437189102173,0.2,0.7299075126647949,0.1419921875,0.017589856,96600,0.0003
6.8,-0.8083,19787776,1,10,188,-0.032056312938220796,1.9243623703718185,-2.8579500138759615,0.17401015758514404,0.2,0.7108128070831299,0.127783203125,0.017586675,96610,0.0003
7.66,-0.4151,19789824,1,11,182,-0.024672131647821515,2.6060534536838533,-2.222045397758484,0.03404051065444946,0.2,1.014266848564148,0.12587890625,0.018423215,96620,0.0003
7.94,-0.022199999999999998,19791872,1,11,185,-0.02718102445360273,1.8958079487085342,-2.248282164335251,0.23513031005859375,0.2,0.7743424773216248,0.159033203125,0.019037478,96630,0.0003
9.66,0.17140000000000005,19793920,1,11,185,-0.030991790408734232,1.9759129852056503,-2.240583086013794,0.15156835317611694,0.2,0.8368910551071167,0.151953125,0.015117729,96640,0.0003
10.73,0.6295,19795968,1,11,180,-0.036326688877306876,1.5205078989267349,-2.9282433092594147,0.015596270561218262,0.2,0.42848026752471924,0.144482421875,0.019404737,96650,0.0003
6.75,0.027600000000000006,19798016,1,11,179,-0.041558838210767134,1.3358248889446258,-2.920776569843292,0.15713149309158325,0.2,0.39920371770858765,0.174951171875,0.022960167,96660,0.0003
7.5,0.45419999999999994,19800064,1,11,183,-0.029573028557933867,2.062284243106842,-2.2550175368785856,0.13555318117141724,0.2,0.8404169678688049,0.1712890625,0.01807158,96670,0.0003
7.11,-0.034799999999999984,19802112,1,10,187,-0.028800703189335763,2.2593370527029037,-2.2703698575496674,-0.02570652961730957,0.2,0.9387915730476379,0.14140625,0.02040257,96680,0.0003
10.79,0.09709999999999999,19804160,1,11,185,-0.03132087428821251,1.8467013984918594,-2.2708328783512117,0.06085777282714844,0.2,0.5970724821090698,0.167236328125,0.020533169,96690,0.0003
9.35,0.5393000000000001,19806208,1,11,181,-0.035163025534711775,1.4671136051416398,-2.808669996261597,0.16986298561096191,0.2,0.5307179689407349,0.159716796875,0.0206302,96700,0.0003
10.08,-0.1282,19808256,1,11,185,-0.032061180367600174,1.7114581733942031,-2.726216208934784,0.1208573579788208,0.2,0.537373423576355,0.141064453125,0.01762493,96710,0.0003
10.71,0.45500000000000007,19810304,1,11,185,-0.03317763102822937,1.7710587352514267,-2.9354782819747927,0.18353146314620972,0.2,0.6737853288650513,0.13173828125,0.016804475,96720,0.0003
9.78,0.7671999999999999,19812352,1,11,185,-0.03440598412416875,1.4508690744638444,-2.748453450202942,0.1924164891242981,0.2,0.4958566427230835,0.15126953125,0.017170062,96730,0.0003
9.18,0.031000000000000014,19814400,1,11,184,-0.03973046196624637,1.5276523739099503,-2.5180231630802155,0.1939154863357544,0.2,0.5345521569252014,0.17685546875,0.01828213,96740,0.0003
10.85,0.571,19816448,1,11,185,-0.04082792904227972,1.5887203216552734,-2.483832210302353,0.2210368514060974,0.2,0.5114854574203491,0.17119140625,0.020260409,96750,0.0003
9.9,0.5308,19818496,1,10,186,-0.03819926229771227,1.5857591331005096,-2.853605854511261,0.21040719747543335,0.2,0.5144003629684448,0.14853515625,0.018873576,96760,0.0003
8.7,0.5583000000000001,19820544,1,10,187,-0.04148606344824657,1.511058270931244,-2.8369173645973205,0.20620399713516235,0.2,0.5130631327629089,0.171435546875,0.018513061,96770,0.0003
11.85,0.7539,19822592,1,11,185,-0.03454518017824739,1.29246187210083,-2.5026579022407534,0.15944379568099976,0.2,0.4419746696949005,0.14130859375,0.016170487,96780,0.0003
11.68,0.9960000000000001,19824640,1,10,186,-0.04157280607614666,1.4096744418144227,-2.869566190242767,0.14927178621292114,0.2,0.411765456199646,0.1880859375,0.022383574,96790,0.0003
7.83,-0.04220000000000001,19826688,1,11,185,-0.04182902234606445,1.208087009191513,-2.8730715990066527,0.1750277876853943,0.2,0.35124629735946655,0.19091796875,0.02253707,96800,0.0003
