time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss
5,2048,-0.48328767123287664,1,408,27.931506849315067,,,,,,,,,,
4,4096,-0.44800000000000006,1,428,27.4,0.04814453125,0.0003,-0.035802364349365234,10,0.009979922,0.1521783910691738,-0.2493903785943985,0.2,-4.599599361419678,-0.025378296384587884
5,6144,-0.4574,1,350,26.87,0.09326171875,0.0003,-0.0229184627532959,20,0.013020374,0.13124584667384626,-0.266400545835495,0.2,-4.6151814460754395,-0.030846581293735652
6,8192,-0.6528,1,329,27.64,0.06591796875,0.0003,-0.05893385410308838,30,0.012233306,0.13630664283409716,-0.2733632028102875,0.2,-4.600041186809539,-0.029138345166575163
6,10240,-0.5182000000000001,1,340,26.91,0.063818359375,0.0003,-0.15858519077301025,40,0.011340182,0.15507166804745792,-0.25478124618530273,0.2,-4.5638172149658205,-0.028560226957779378
6,12288,-0.4378,1,339,26.89,0.05986328125,0.0003,-0.22086191177368164,50,0.010856008,0.1756400378420949,-0.25700095295906067,0.2,-4.5885698914527895,-0.030144735239446163
5,14336,-0.5908,1,344,26.79,0.06181640625,0.0003,-7.43865966796875e-05,60,0.011006408,0.14327828716486693,-0.26761648058891296,0.2,-4.55730562210083,-0.030830294627230616
6,16384,-0.4462,1,324,25.56,0.04013671875,0.0003,-0.2562488317489624,70,0.0087989215,0.21951944287866354,-0.2519915699958801,0.2,-4.55481071472168,-0.026781535288318992
6,18432,-0.3774,1,336,26.87,0.064501953125,0.0003,0.038052380084991455,80,0.011186558,0.19085180219262837,-0.25953665375709534,0.2,-4.584206759929657,-0.030314949504099787
6,20480,-0.474,1,329,26.2,0.050634765625,0.0003,-0.013568758964538574,90,0.009865334,0.1566095761023462,-0.2678120732307434,0.2,-4.52568485736847,-0.030024523637257515
6,22528,-0.28180000000000005,1,334,26.34,0.059912109375,0.0003,-0.3714427947998047,100,0.010470315,0.23649469055235386,-0.24037274718284607,0.2,-4.55442715883255,-0.030184381792787464
6,24576,-0.3876,1,337,27.38,0.067333984375,0.0003,-0.21303558349609375,110,0.010836819,0.19793555093929172,-0.25568029284477234,0.2,-4.531094157695771,-0.03246486284770071
6,26624,-0.3896,1,316,27.48,0.072900390625,0.0003,0.14412283897399902,120,0.011776779,0.15101957330480217,-0.25860220193862915,0.2,-4.497514247894287,-0.033608824259135875
6,28672,-0.49939999999999996,1,320,27.22,0.0697265625,0.0003,-0.05594146251678467,130,0.010677101,0.1689589093439281,-0.25438496470451355,0.2,-4.511685979366303,-0.031011826498433946
6,30720,-0.6692,1,336,26.46,0.05205078125,0.0003,-0.0051000118255615234,140,0.010226008,0.19670227449387312,-0.25535619258880615,0.2,-4.504484796524048,-0.029999094200320542
6,32768,-0.5766000000000001,1,318,26.83,0.059521484375,0.0003,-0.07500028610229492,150,0.009034216,0.206847208365798,-0.244024395942688,0.2,-4.486277568340301,-0.030990183167159558
6,34816,-0.6526,1,322,26.63,0.0673828125,0.0003,0.16549474000930786,160,0.0112592615,0.15236325254663824,-0.26212888956069946,0.2,-4.485815787315369,-0.03522958948742598
6,36864,-0.57,1,334,26.75,0.0546875,0.0003,-0.29950153827667236,170,0.011121253,0.20073694670572878,-0.25465553998947144,0.2,-4.481793129444123,-0.031608642579521985
6,38912,-0.5539999999999999,1,335,26.2,0.056396484375,0.0003,-0.15347743034362793,180,0.010318701,0.21076002381742,-0.24632570147514343,0.2,-4.480613827705383,-0.03286759131588042
6,40960,-0.5598,1,338,26.99,0.0701171875,0.0003,0.0153886079788208,190,0.010567202,0.20920649338513614,-0.2488326132297516,0.2,-4.478511130809784,-0.03181660737609491
