[STEP 61] | timesteps=0 | ep_rew_mean=-0.441 | ep_len_mean=25.060 | time_elapsed=5
[STEP 62] | timesteps=0 | ep_rew_mean=-0.374 | ep_len_mean=23.720 | time_elapsed=6
[STEP 63] | timesteps=0 | ep_rew_mean=-0.213 | ep_len_mean=23.890 | time_elapsed=6
[STEP 64] | timesteps=0 | ep_rew_mean=-0.228 | ep_len_mean=24.390 | time_elapsed=6
[STEP 65] | timesteps=0 | ep_rew_mean=-0.162 | ep_len_mean=22.840 | time_elapsed=6
[STEP 66] | timesteps=0 | ep_rew_mean=-0.251 | ep_len_mean=23.030 | time_elapsed=6
[STEP 67] | timesteps=0 | ep_rew_mean=-0.092 | ep_len_mean=23.580 | time_elapsed=5
[STEP 68] | timesteps=0 | ep_rew_mean=-0.012 | ep_len_mean=22.080 | time_elapsed=6
[STEP 69] | timesteps=0 | ep_rew_mean=-0.050 | ep_len_mean=23.990 | time_elapsed=6
[STEP 70] | timesteps=0 | ep_rew_mean=-0.233 | ep_len_mean=22.910 | time_elapsed=6
[STEP 71] | timesteps=0 | ep_rew_mean=0.157 | ep_len_mean=21.640 | time_elapsed=6
[STEP 72] | timesteps=0 | ep_rew_mean=0.103 | ep_len_mean=21.610 | time_elapsed=6
[STEP 73] | timesteps=0 | ep_rew_mean=-0.005 | ep_len_mean=22.230 | time_elapsed=6
[STEP 74] | timesteps=0 | ep_rew_mean=-0.180 | ep_len_mean=22.510 | time_elapsed=6
[STEP 75] | timesteps=0 | ep_rew_mean=0.029 | ep_len_mean=24.560 | time_elapsed=6
[STEP 76] | timesteps=0 | ep_rew_mean=-0.187 | ep_len_mean=23.330 | time_elapsed=6
[STEP 77] | timesteps=0 | ep_rew_mean=-0.005 | ep_len_mean=22.770 | time_elapsed=5
[STEP 78] | timesteps=0 | ep_rew_mean=-0.151 | ep_len_mean=22.820 | time_elapsed=5
[STEP 79] | timesteps=0 | ep_rew_mean=-0.193 | ep_len_mean=22.880 | time_elapsed=5
[STEP 80] | timesteps=0 | ep_rew_mean=0.009 | ep_len_mean=22.790 | time_elapsed=5
[STEP 81] | timesteps=0 | ep_rew_mean=-0.095 | ep_len_mean=22.020 | time_elapsed=6
[STEP 82] | timesteps=0 | ep_rew_mean=-0.141 | ep_len_mean=21.540 | time_elapsed=6
[STEP 83] | timesteps=0 | ep_rew_mean=0.043 | ep_len_mean=22.080 | time_elapsed=6
[STEP 84] | timesteps=0 | ep_rew_mean=-0.152 | ep_len_mean=22.120 | time_elapsed=5
[STEP 85] | timesteps=0 | ep_rew_mean=0.035 | ep_len_mean=22.240 | time_elapsed=6
[STEP 86] | timesteps=0 | ep_rew_mean=0.089 | ep_len_mean=21.550 | time_elapsed=6
[STEP 87] | timesteps=0 | ep_rew_mean=0.119 | ep_len_mean=20.790 | time_elapsed=6
[STEP 88] | timesteps=0 | ep_rew_mean=0.001 | ep_len_mean=21.470 | time_elapsed=6
[STEP 89] | timesteps=0 | ep_rew_mean=0.005 | ep_len_mean=21.230 | time_elapsed=6
[STEP 90] | timesteps=0 | ep_rew_mean=-0.002 | ep_len_mean=20.110 | time_elapsed=6
[STEP 91] | timesteps=0 | ep_rew_mean=0.050 | ep_len_mean=20.230 | time_elapsed=6
[STEP 92] | timesteps=0 | ep_rew_mean=0.061 | ep_len_mean=20.460 | time_elapsed=6
[STEP 93] | timesteps=0 | ep_rew_mean=-0.009 | ep_len_mean=21.470 | time_elapsed=6
[STEP 94] | timesteps=0 | ep_rew_mean=0.106 | ep_len_mean=21.700 | time_elapsed=6
[STEP 95] | timesteps=0 | ep_rew_mean=-0.000 | ep_len_mean=21.010 | time_elapsed=5
[STEP 96] | timesteps=0 | ep_rew_mean=0.027 | ep_len_mean=20.670 | time_elapsed=6
[STEP 97] | timesteps=0 | ep_rew_mean=0.020 | ep_len_mean=20.230 | time_elapsed=6
[STEP 98] | timesteps=0 | ep_rew_mean=0.129 | ep_len_mean=21.570 | time_elapsed=5
[STEP 99] | timesteps=0 | ep_rew_mean=0.017 | ep_len_mean=20.910 | time_elapsed=5
[STEP 100] | timesteps=0 | ep_rew_mean=0.256 | ep_len_mean=19.440 | time_elapsed=6
[STEP 101] | timesteps=0 | ep_rew_mean=0.171 | ep_len_mean=18.960 | time_elapsed=6
[STEP 102] | timesteps=0 | ep_rew_mean=0.109 | ep_len_mean=18.810 | time_elapsed=6
[STEP 103] | timesteps=0 | ep_rew_mean=0.214 | ep_len_mean=18.290 | time_elapsed=6
[STEP 104] | timesteps=0 | ep_rew_mean=0.312 | ep_len_mean=18.630 | time_elapsed=6
[STEP 105] | timesteps=0 | ep_rew_mean=0.247 | ep_len_mean=19.630 | time_elapsed=6
[STEP 106] | timesteps=0 | ep_rew_mean=0.223 | ep_len_mean=19.100 | time_elapsed=6
[STEP 107] | timesteps=0 | ep_rew_mean=0.060 | ep_len_mean=18.980 | time_elapsed=6
[STEP 108] | timesteps=0 | ep_rew_mean=0.114 | ep_len_mean=20.030 | time_elapsed=5
[STEP 109] | timesteps=0 | ep_rew_mean=0.045 | ep_len_mean=19.760 | time_elapsed=6
[STEP 110] | timesteps=0 | ep_rew_mean=0.431 | ep_len_mean=18.430 | time_elapsed=6
[STEP 111] | timesteps=0 | ep_rew_mean=0.352 | ep_len_mean=18.660 | time_elapsed=6
[STEP 112] | timesteps=0 | ep_rew_mean=0.341 | ep_len_mean=18.930 | time_elapsed=6
[STEP 113] | timesteps=0 | ep_rew_mean=0.327 | ep_len_mean=17.170 | time_elapsed=5
[STEP 114] | timesteps=0 | ep_rew_mean=0.237 | ep_len_mean=17.640 | time_elapsed=5
[STEP 115] | timesteps=0 | ep_rew_mean=0.256 | ep_len_mean=18.440 | time_elapsed=6
[STEP 116] | timesteps=0 | ep_rew_mean=0.266 | ep_len_mean=17.950 | time_elapsed=6
[STEP 117] | timesteps=0 | ep_rew_mean=0.342 | ep_len_mean=17.380 | time_elapsed=5
[STEP 118] | timesteps=0 | ep_rew_mean=0.263 | ep_len_mean=18.080 | time_elapsed=6
[STEP 119] | timesteps=0 | ep_rew_mean=0.349 | ep_len_mean=18.320 | time_elapsed=6
[STEP 120] | timesteps=0 | ep_rew_mean=0.289 | ep_len_mean=17.560 | time_elapsed=6
[STEP 121] | timesteps=0 | ep_rew_mean=0.363 | ep_len_mean=18.620 | time_elapsed=5
[STEP 122] | timesteps=0 | ep_rew_mean=0.350 | ep_len_mean=17.760 | time_elapsed=6
[STEP 123] | timesteps=0 | ep_rew_mean=0.275 | ep_len_mean=18.270 | time_elapsed=6
[STEP 124] | timesteps=0 | ep_rew_mean=0.468 | ep_len_mean=17.830 | time_elapsed=6
[STEP 125] | timesteps=0 | ep_rew_mean=0.316 | ep_len_mean=18.430 | time_elapsed=6
[STEP 126] | timesteps=0 | ep_rew_mean=0.252 | ep_len_mean=17.170 | time_elapsed=6
[STEP 127] | timesteps=0 | ep_rew_mean=0.261 | ep_len_mean=17.950 | time_elapsed=6
[STEP 128] | timesteps=0 | ep_rew_mean=0.434 | ep_len_mean=17.530 | time_elapsed=6
[STEP 129] | timesteps=0 | ep_rew_mean=0.413 | ep_len_mean=17.580 | time_elapsed=5
[STEP 130] | timesteps=0 | ep_rew_mean=0.334 | ep_len_mean=16.540 | time_elapsed=5
[STEP 131] | timesteps=0 | ep_rew_mean=0.402 | ep_len_mean=15.400 | time_elapsed=6
[STEP 132] | timesteps=0 | ep_rew_mean=0.329 | ep_len_mean=16.790 | time_elapsed=6
[STEP 133] | timesteps=0 | ep_rew_mean=0.265 | ep_len_mean=17.520 | time_elapsed=6
[STEP 134] | timesteps=0 | ep_rew_mean=0.383 | ep_len_mean=16.590 | time_elapsed=5
[STEP 135] | timesteps=0 | ep_rew_mean=0.401 | ep_len_mean=16.930 | time_elapsed=5
[STEP 136] | timesteps=0 | ep_rew_mean=0.499 | ep_len_mean=15.540 | time_elapsed=6
[STEP 137] | timesteps=0 | ep_rew_mean=0.474 | ep_len_mean=15.800 | time_elapsed=6
[STEP 138] | timesteps=0 | ep_rew_mean=0.421 | ep_len_mean=15.720 | time_elapsed=6
[STEP 139] | timesteps=0 | ep_rew_mean=0.444 | ep_len_mean=17.320 | time_elapsed=6
[STEP 140] | timesteps=0 | ep_rew_mean=0.442 | ep_len_mean=16.130 | time_elapsed=6
[STEP 141] | timesteps=0 | ep_rew_mean=0.462 | ep_len_mean=16.160 | time_elapsed=5
[STEP 142] | timesteps=0 | ep_rew_mean=0.450 | ep_len_mean=14.990 | time_elapsed=6
[STEP 143] | timesteps=0 | ep_rew_mean=0.440 | ep_len_mean=14.020 | time_elapsed=6
[STEP 144] | timesteps=0 | ep_rew_mean=0.509 | ep_len_mean=13.060 | time_elapsed=6
[STEP 145] | timesteps=0 | ep_rew_mean=0.495 | ep_len_mean=13.480 | time_elapsed=6
[STEP 146] | timesteps=0 | ep_rew_mean=0.385 | ep_len_mean=15.760 | time_elapsed=6
[STEP 147] | timesteps=0 | ep_rew_mean=0.416 | ep_len_mean=15.940 | time_elapsed=6
[STEP 148] | timesteps=0 | ep_rew_mean=0.515 | ep_len_mean=14.000 | time_elapsed=6
[STEP 149] | timesteps=0 | ep_rew_mean=0.573 | ep_len_mean=13.600 | time_elapsed=6
[STEP 150] | timesteps=0 | ep_rew_mean=0.477 | ep_len_mean=13.920 | time_elapsed=6
[STEP 151] | timesteps=0 | ep_rew_mean=-1.046 | ep_len_mean=8.030 | time_elapsed=10
[STEP 152] | timesteps=0 | ep_rew_mean=-1.012 | ep_len_mean=8.360 | time_elapsed=11
[STEP 153] | timesteps=0 | ep_rew_mean=-1.096 | ep_len_mean=10.300 | time_elapsed=10
[STEP 154] | timesteps=0 | ep_rew_mean=-0.588 | ep_len_mean=10.920 | time_elapsed=10
[STEP 155] | timesteps=0 | ep_rew_mean=-0.807 | ep_len_mean=12.840 | time_elapsed=10
[STEP 156] | timesteps=0 | ep_rew_mean=-0.788 | ep_len_mean=14.380 | time_elapsed=10
