time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss
8,-1.0192,1,10.96,240,28471296,,,,,,,,,,
10,-0.9008000000000002,1,10.79,195,28473344,0.2,-2.448297393321991,-0.02027976216049865,0.7150599956512451,0.159873366355896,139020,0.0003,0.094580078125,0.0141816065,1.9599439680576325
11,-1.1702000000000001,1,10.76,184,28475392,0.2,-2.5946018755435944,-0.03214985996019095,0.5665441751480103,0.04240018129348755,139030,0.0003,0.164013671875,0.018271513,1.3788359820842744
10,-0.9748,1,11.74,186,28477440,0.2,-2.6977908432483675,-0.0322953870985657,0.525436282157898,0.20645922422409058,139040,0.0003,0.1685546875,0.018797804,1.3856647819280625
11,-0.9836000000000001,1,11.68,182,28479488,0.2,-2.7784339070320128,-0.035257953032851216,0.41346585750579834,0.23005306720733643,139050,0.0003,0.16728515625,0.01756652,1.1810177594423295
11,-0.8136,1,12.68,185,28481536,0.2,-2.740288054943085,-0.03449986113701016,0.4693093001842499,0.11508774757385254,139060,0.0003,0.1728515625,0.019753851,1.3096261203289032
11,-0.9148,1,13.74,179,28483584,0.2,-2.7802575886249543,-0.03569326892029494,0.4456437826156616,0.1418634057044983,139070,0.0003,0.166259765625,0.018957404,1.190683063864708
11,-0.5374,1,17.87,183,28485632,0.2,-2.959216368198395,-0.03428289127186872,0.3169322609901428,0.1965423822402954,139080,0.0003,0.15341796875,0.019358162,0.9084764435887337
11,-0.9745999999999998,1,15.23,183,28487680,0.2,-3.145021367073059,-0.04291921171825379,0.20637115836143494,-0.039655327796936035,139090,0.0003,0.194580078125,0.019366588,0.7009524151682853
6,0.5558,1,13.46,313,28489728,0.2,-2.966798985004425,-0.03983183274976909,0.3314962089061737,0.16773921251296997,139100,0.0003,0.186083984375,0.021694005,0.932004863023758
6,0.6454000000000001,1,12.73,312,28491776,0.2,-2.831755793094635,-0.03242398414295167,0.008629202842712402,0.043431222438812256,139110,0.0003,0.12568359375,0.01807034,0.3562318872660398
6,0.5112,1,13.19,318,28493824,0.2,-2.789552944898605,-0.0451644808286801,-0.027860119938850403,0.18169033527374268,139120,0.0003,0.190234375,0.020238178,0.24937313236296177
6,0.6142,1,13.29,315,28495872,0.2,-2.8526364147663115,-0.04752321157138795,-0.042642369866371155,0.20485538244247437,139130,0.0003,0.2240234375,0.020929381,0.23875148333609103
11,-0.7682000000000001,1,14.41,174,28497920,0.2,-2.7858622848987578,-0.05078188357874751,-0.05901499092578888,0.1595558524131775,139140,0.0003,0.24140625,0.02646648,0.19646382108330726
11,-0.17859999999999998,1,8.68,178,28499968,0.2,-3.031139445304871,-0.023271602555178107,0.4232850670814514,-0.07822680473327637,139150,0.0003,0.084619140625,0.013821358,1.222730314731598
11,-0.3916000000000001,1,14.83,178,28502016,0.2,-2.446928155422211,-0.037793807499110696,0.4244498610496521,0.0726780891418457,139160,0.0003,0.183935546875,0.020414673,1.1599538281559945
11,-0.17100000000000004,1,10.3,176,28504064,0.2,-2.8801050007343294,-0.03726725940359756,0.3288748264312744,0.09714031219482422,139170,0.0003,0.1853515625,0.02031685,0.9243325784802436
11,-0.07920000000000008,1,9.96,178,28506112,0.2,-2.5438219785690306,-0.036909312824718654,0.457572340965271,0.12264508008956909,139180,0.0003,0.162939453125,0.018600604,1.1396228581666947
11,0.23719999999999997,1,7.64,177,28508160,0.2,-2.4164337813854218,-0.032068110292311755,0.4284120798110962,0.06666046380996704,139190,0.0003,0.161767578125,0.019575885,1.2459446847438813
11,-0.42800000000000005,1,13.15,179,28510208,0.2,-2.12913892865181,-0.03276199558749795,0.4285491108894348,0.10356098413467407,139200,0.0003,0.152880859375,0.018394453,1.1830027729272843
11,0.25639999999999996,1,9.43,179,28512256,0.2,-2.8232691884040833,-0.039174889668356624,0.2502623200416565,0.08534687757492065,139210,0.0003,0.17841796875,0.023022687,0.8827489212155342
11,0.24679999999999996,1,9.66,177,28514304,0.2,-2.3343443632125855,-0.03753183602821082,0.2878026068210602,0.17583978176116943,139220,0.0003,0.17587890625,0.020946305,0.9609035044908524
11,0.017400000000000002,1,11.38,178,28516352,0.2,-2.4555000185966493,-0.03516611703671515,0.24940595030784607,0.09350508451461792,139230,0.0003,0.187841796875,0.018658884,0.7746585503220558
11,-0.8423999999999998,1,12.37,180,28518400,0.2,-2.6124624788761137,-0.03944338704459369,0.2814314663410187,0.11895275115966797,139240,0.0003,0.1638671875,0.02300657,0.813252967596054
11,0.257,1,8.15,173,28520448,0.2,-2.8256264865398406,-0.03162135536549613,0.4891182780265808,0.09287393093109131,139250,0.0003,0.14091796875,0.01476306,1.3946238487958909
11,-0.2870000000000001,1,12.85,180,28522496,0.2,-2.1060861468315126,-0.027607342530973255,0.4937486946582794,0.011385083198547363,139260,0.0003,0.13994140625,0.021339884,1.1846848636865617
11,0.18519999999999995,1,7.74,181,28524544,0.2,-2.8333196520805357,-0.036941331811249256,0.3449302315711975,0.041669249534606934,139270,0.0003,0.175732421875,0.020209735,1.0069619476795197
11,0.2713999999999999,1,8.68,180,28526592,0.2,-2.1680747866630554,-0.030540427356027067,0.2934477925300598,0.13861876726150513,139280,0.0003,0.168603515625,0.020852104,0.8697887405753135
11,0.3956,1,9.97,179,28528640,0.2,-2.181935524940491,-0.030707907932810485,0.2588098645210266,0.19563215970993042,139290,0.0003,0.1693359375,0.018676523,0.7714647129178047
11,-0.43040000000000006,1,13.77,174,28530688,0.2,-2.544974011182785,-0.03895043570082635,0.17659008502960205,0.13260656595230103,139300,0.0003,0.2181640625,0.023167066,0.6703938663005828
11,0.47900000000000004,1,9.55,177,28532736,0.2,-2.8917311072349547,-0.03744103512726724,0.388082891702652,0.12683838605880737,139310,0.0003,0.188671875,0.0205301,1.0210550636053086
11,0.4108,1,8.71,183,28534784,0.2,-2.352853608131409,-0.03304995656944811,0.13782033324241638,0.1400620937347412,139320,0.0003,0.159375,0.019558098,0.5440317526459694
11,0.3402000000000001,1,8.74,180,28536832,0.2,-2.2433314621448517,-0.03573473677970469,0.20760250091552734,0.16027843952178955,139330,0.0003,0.190673828125,0.018547345,0.5798196464776992
11,0.02079999999999998,1,12.46,177,28538880,0.2,-2.141514575481415,-0.03142305295914412,0.26322317123413086,0.10965818166732788,139340,0.0003,0.186474609375,0.021074,0.6904877230525017
11,-0.4991999999999999,1,11.96,180,28540928,0.2,-2.7319922864437105,-0.043255398818291727,0.27792081236839294,0.10813307762145996,139350,0.0003,0.218212890625,0.02384182,0.7639466270804405
11,0.13259999999999997,1,9.87,177,28542976,0.2,-2.6969001948833466,-0.038871702540200205,0.2607075572013855,0.22147810459136963,139360,0.0003,0.1822265625,0.022459988,0.8697491616010666
11,0.17420000000000002,1,11.79,182,28545024,0.2,-2.350890189409256,-0.038887832476757464,0.42726337909698486,0.0471799373626709,139370,0.0003,0.163916015625,0.019249767,1.1351882427930833
11,0.04199999999999995,1,9.65,179,28547072,0.2,-2.4993819773197172,-0.03544868278549984,0.1764426827430725,0.1597769856452942,139380,0.0003,0.13525390625,0.02139571,0.6450021550059318
11,-0.17460000000000003,1,11.98,182,28549120,0.2,-2.239135217666626,-0.03335541900014505,0.393900990486145,0.11146998405456543,139390,0.0003,0.149267578125,0.019053482,1.0890313550829887
11,0.6256,1,7.47,178,28551168,0.2,-2.5399811387062075,-0.03733020799700171,0.4589676260948181,-0.003646254539489746,139400,0.0003,0.18154296875,0.027170705,1.150240069627762
11,0.14119999999999996,1,10.69,178,28553216,0.2,-2.0311332553625108,-0.024383522290736436,0.12584823369979858,-0.10054707527160645,139410,0.0003,0.13291015625,0.023196302,0.5824396893382072
11,0.40080000000000005,1,8.21,177,28555264,0.2,-2.3050918161869047,-0.03599431570619345,0.3038862347602844,0.04146164655685425,139420,0.0003,0.1708984375,0.0188987,0.8345899596810341
11,0.12320000000000003,1,10.84,181,28557312,0.2,-1.9371835976839065,-0.031136279285419732,0.32478219270706177,0.12374305725097656,139430,0.0003,0.1603515625,0.019886242,0.8361807957291603
11,0.3428,1,10.61,180,28559360,0.2,-2.3519763469696047,-0.040981833369005474,0.16181696951389313,0.16770309209823608,139440,0.0003,0.172705078125,0.019477315,0.6702061831951142
11,-0.00600000000000003,1,13.05,182,28561408,0.2,-2.2803614675998687,-0.03390794236911461,0.16490665078163147,0.183488130569458,139450,0.0003,0.142822265625,0.01633802,0.5704198084771633
11,0.02179999999999998,1,13.41,178,28563456,0.2,-2.6534699857234956,-0.034442920493893324,0.2249702662229538,-0.0011587142944335938,139460,0.0003,0.176953125,0.023083478,0.758050511777401
11,0.17159999999999992,1,9.92,178,28565504,0.2,-2.638381689786911,-0.04302266981685534,0.15231803059577942,0.010045647621154785,139470,0.0003,0.2296875,0.02441952,0.6312429070472717
11,0.5124000000000001,1,10.63,178,28567552,0.2,-2.220298671722412,-0.038703667791560294,0.2591736912727356,0.14474594593048096,139480,0.0003,0.18740234375,0.022779038,0.7621108219027519
11,0.3363999999999999,1,9.68,178,28569600,0.2,-2.264576756954193,-0.036467750021256504,0.05403861403465271,0.09953677654266357,139490,0.0003,0.177197265625,0.020176493,0.4083826243877411
11,0.0394,1,11.78,181,28571648,0.2,-2.170803052186966,-0.03591718182433397,0.18123780190944672,0.1351146101951599,139500,0.0003,0.17216796875,0.021829916,0.5671552516520023
11,0.36719999999999997,1,10.64,177,28573696,0.2,-2.5311137795448304,-0.032006530370563266,0.33297792077064514,0.060118257999420166,139510,0.0003,0.149169921875,0.018244268,1.0044604524970056
11,0.3016,1,8.67,182,28575744,0.2,-2.2806766390800477,-0.0359757119556889,0.12299370765686035,0.12092357873916626,139520,0.0003,0.17685546875,0.024201088,0.4841560013592243
11,0.21259999999999996,1,9.12,177,28577792,0.2,-2.0368606805801392,-0.03411812521517277,0.21884039044380188,0.16731584072113037,139530,0.0003,0.132470703125,0.015756976,0.6683771140873432
11,0.47180000000000005,1,9.41,179,28579840,0.2,-2.1050612539052964,-0.033618275867775084,0.2883160710334778,0.1111980676651001,139540,0.0003,0.140673828125,0.018520178,0.8908770218491554
11,0.1322,1,12.89,177,28581888,0.2,-2.0608608722686768,-0.04178447616286576,0.13216592371463776,0.13479351997375488,139550,0.0003,0.17666015625,0.020828392,0.5102239079773426
11,0.2218,1,9.91,182,28583936,0.2,-2.5242374897003175,-0.034583880833815785,0.22172465920448303,-0.011029839515686035,139560,0.0003,0.155908203125,0.016319131,0.7782278537750245
