time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
17811456,7.89,181,11,1,0.03493736,0.2,0.08662109375,1.633651439845562,0.021862421,86960,0.4178541898727417,0.0003,0.09401905536651611,-0.9834823116660119,-0.018294546310789882
17813504,5.7,185,11,1,-0.15298863999999995,0.2,0.1615234375,0.7399669528007508,0.028208047,86970,0.21669301390647888,0.0003,0.7392509579658508,-0.9736198782920837,-0.03225995636312291
17815552,7.08,182,11,1,-0.42264392999999983,0.2,0.093017578125,2.9529139012098313,0.027516857,86980,0.9193629026412964,0.0003,-0.636204719543457,-0.9716213062405586,-0.01090852771885693
17817600,5.15,184,11,1,-0.11102695000000004,0.2,0.100244140625,1.0929021507501602,0.049481127,86990,0.33203622698783875,0.0003,0.5016590356826782,-0.9565153062343598,-0.016665076848585158
17819648,5.13,185,11,1,0.4962666,0.2,0.16708984375,2.9226216793060305,0.020539673,87000,1.1577506065368652,0.0003,-0.4429892301559448,-0.9569899991154671,-0.024163021799176933
17821696,7.43,187,10,1,-0.22144581000000005,0.2,0.204443359375,1.8773607790470124,0.020701438,87010,0.81764155626297,0.0003,0.16904783248901367,-0.8704404801130294,-0.03345300911460072
17823744,7.96,187,10,1,0.1992602399999998,0.2,0.1123046875,0.9812615573406219,0.03640796,87020,0.31089743971824646,0.0003,0.5968900918960571,-0.9819947645068169,-0.020638693834189325
17825792,9.06,182,11,1,0.6460939200000001,0.2,0.16875,1.1258759006857872,0.023200436,87030,0.46210646629333496,0.0003,0.586764931678772,-1.0144160345196724,-0.029213858838193118
17827840,6.75,185,11,1,-0.20272936000000005,0.2,0.192578125,1.090896412730217,0.027314868,87040,0.4424644112586975,0.0003,0.4942401647567749,-1.0153890788555144,-0.033825288410298526
17829888,8.28,187,10,1,0.16818330000000006,0.2,0.222509765625,1.6944925367832184,0.03486513,87050,0.6999947428703308,0.0003,0.3535853624343872,-1.212478569149971,-0.03717029234394431
17831936,9.46,191,10,1,0.62507993,0.2,0.1572265625,1.0313409641385078,0.020776305,87060,0.3295705020427704,0.0003,0.666930615901947,-0.9992587521672249,-0.030340118356980382
17833984,9.94,187,10,1,0.69573771,0.2,0.159619140625,0.9156284928321838,0.030370899,87070,0.4444425702095032,0.0003,0.5005846619606018,-1.0453023850917815,-0.027787458640523253
17836032,6.27,182,11,1,-0.19497055,0.2,0.189990234375,1.3206569522619247,0.025333367,87080,0.6534095406532288,0.0003,0.37732285261154175,-1.1086505368351935,-0.033404532086569814
17838080,10.13,183,11,1,0.14684319999999995,0.2,0.17001953125,2.1302959501743315,0.02594604,87090,0.8725199103355408,0.0003,0.14547890424728394,-1.1240240395069123,-0.030238504172302783
17840128,9.7,190,10,1,0.43764389999999986,0.2,0.148828125,1.1728910967707633,0.021214984,87100,0.36594924330711365,0.0003,0.4836554527282715,-1.4569487184286118,-0.03479524590075016
17842176,6.4,185,11,1,0.24257362999999996,0.2,0.185107421875,1.1392960235476495,0.025544837,87110,0.3716875910758972,0.0003,0.3562542200088501,-1.426322528719902,-0.03250417013186961
17844224,9.22,187,10,1,0.8510316,0.2,0.16982421875,1.5209863185882568,0.021224953,87120,0.6741308569908142,0.0003,0.26980000734329224,-1.0668465107679368,-0.03239715576637536
17846272,9.39,187,10,1,0.64611374,0.2,0.147119140625,0.9795937329530716,0.021837424,87130,0.38348424434661865,0.0003,0.39403480291366577,-1.0639707550406456,-0.02470262402202934
17848320,10.32,187,10,1,0.41508691,0.2,0.195361328125,1.0617872089147569,0.026254378,87140,0.514512836933136,0.0003,0.38359105587005615,-1.0219177514314652,-0.03050384554080665
17850368,6.42,188,10,1,0.26425533999999995,0.2,0.189501953125,0.919254931807518,0.021992661,87150,0.3039513826370239,0.0003,0.400195837020874,-1.4078005731105805,-0.034790052368771286
17852416,8.68,187,10,1,0.8785114199999999,0.2,0.17890625,1.6945761680603026,0.03970774,87160,0.7693350315093994,0.0003,0.20084404945373535,-0.9552894175052643,-0.02594278797041625
17854464,8.08,187,10,1,0.19303158,0.2,0.136572265625,0.8062324360013008,0.016544744,87170,0.3314330577850342,0.0003,0.36651521921157837,-0.9031436875462532,-0.02319324139971286
17856512,8.47,188,10,1,0.7443990799999998,0.2,0.160205078125,1.2395616710186004,0.02461815,87180,0.47093039751052856,0.0003,0.4843696355819702,-0.9100727126002311,-0.027340578229632227
17858560,10.57,188,10,1,0.61315606,0.2,0.130517578125,0.8679935514926911,0.016472267,87190,0.3265880048274994,0.0003,0.6176778078079224,-0.9544054388999939,-0.021563742961734533
17860608,10.73,190,10,1,0.8860524599999998,0.2,0.183056640625,0.9954036787152291,0.025863416,87200,0.3720172643661499,0.0003,0.4004361629486084,-1.4570620208978653,-0.03476503761485219
17862656,8.58,190,10,1,0.2841840500000001,0.2,0.149658203125,0.7731563925743103,0.022908838,87210,0.2896612584590912,0.0003,0.4004358649253845,-1.4274505883455277,-0.029387530777603386
17864704,9.11,188,10,1,0.6112922999999999,0.2,0.14609375,1.3087800115346908,0.023293613,87220,0.652847170829773,0.0003,0.417847216129303,-1.0184587135910987,-0.0239662405801937
17866752,9.2,187,10,1,0.8705446100000002,0.2,0.122998046875,1.0230463296175003,0.015974764,87230,0.4287009835243225,0.0003,0.48159587383270264,-1.0097416818141938,-0.025173659855499863
17868800,9.09,190,10,1,0.70191278,0.2,0.123828125,0.7380198761820793,0.015870761,87240,0.2714587450027466,0.0003,0.5407451391220093,-0.9673807069659233,-0.022795161104295403
17870848,9.54,187,10,1,0.9384948,0.2,0.15126953125,0.8745832830667496,0.018446036,87250,0.3652580976486206,0.0003,0.37694698572158813,-0.9438033938407898,-0.021086054365150632
17872896,9.27,189,10,1,0.23260756000000005,0.2,0.1328125,0.7202247217297554,0.01609886,87260,0.23348477482795715,0.0003,0.2863471508026123,-0.9246075600385666,-0.02406605939613655
17874944,9.2,188,10,1,0.701678,0.2,0.13408203125,1.215665964782238,0.018117215,87270,0.4736817479133606,0.0003,0.25712502002716064,-1.3374659895896912,-0.0282286694040522
17876992,10.91,188,10,1,1.0405285499999997,0.2,0.12197265625,0.955974206328392,0.018454468,87280,0.34854263067245483,0.0003,0.37657368183135986,-1.040233588218689,-0.01946442130720243
17879040,10.49,188,10,1,0.7117578499999998,0.2,0.15830078125,0.6471761949360371,0.028185826,87290,0.20788028836250305,0.0003,0.39684200286865234,-1.395460370182991,-0.03157736933790147
17881088,4.59,183,11,1,-3.4086692,0.2,0.18916015625,0.7478382766246796,0.02681583,87300,0.29215747117996216,0.0003,0.3894166946411133,-1.520725491642952,-0.033468228846322744
17883136,9.51,190,10,1,0.93038572,0.2,0.04013671875,7.6155177250504495,0.0039584823,87310,0.45149698853492737,0.0003,-0.7230602502822876,-0.7829291477799416,-0.0058716895757243035
17885184,7.64,186,11,1,0.39104866999999993,0.2,0.026025390625,4.624430763721466,0.005415261,87320,0.5535786151885986,0.0003,-0.198675274848938,-1.161217725276947,-0.008716811134945601
17887232,7.78,186,10,1,0.87819981,0.2,0.16435546875,1.4024390935897828,0.022286225,87330,0.6050525903701782,0.0003,-0.025728821754455566,-1.2290967613458634,-0.026452935440465807
17889280,7.8,187,10,1,0.6275295500000001,0.2,0.155029296875,0.8080423578619957,0.020824365,87340,0.3105432391166687,0.0003,0.09854990243911743,-1.2585801035165787,-0.02696587990503758
17891328,6.84,184,11,1,0.44262993,0.2,0.1802734375,1.1473498895764351,0.020266566,87350,0.5331921577453613,0.0003,0.07237839698791504,-1.2979528427124023,-0.03195788487792015
17893376,9.1,187,10,1,-0.7011383099999997,0.2,0.15830078125,1.7084696888923645,0.015508237,87360,0.6429038047790527,0.0003,0.032069265842437744,-1.0175484046339989,-0.02562950688879937
17895424,4.6,183,11,1,-3.34604129,0.2,0.138818359375,1.8299307107925415,0.021416016,87370,0.7298953533172607,0.0003,0.3175051212310791,-1.6120133221149444,-0.029812554293312133
17897472,10.3,187,10,1,-0.18113836999999997,0.2,0.04892578125,3.7937552884221075,0.0094994,87380,0.1626855581998825,0.0003,-1.6449840068817139,-0.8419836521148681,-0.00430622041458264
17899520,9.79,189,10,1,-0.17102214,0.2,0.050537109375,3.664032891392708,0.0079452265,87390,0.79212886095047,0.0003,0.08472973108291626,-1.6607718497514725,-0.013337451743427663
17901568,12.19,192,10,1,-0.23765034999999998,0.2,0.17021484375,1.6664992153644562,0.021860465,87400,0.7005330920219421,0.0003,0.2873346209526062,-1.5550968796014786,-0.03526363325072453
17903616,13.11,192,10,1,-0.53286895,0.2,0.211376953125,1.6259391158819199,0.025089659,87410,0.6981423497200012,0.0003,0.1612662672996521,-2.0413053005933763,-0.03868840660434216
17905664,12.96,189,10,1,-0.37959371,0.2,0.22109375,1.6418690711259842,0.027585981,87420,0.7225069403648376,0.0003,0.08558499813079834,-2.1201985657215117,-0.04320592873264104
17907712,12.68,190,10,1,-0.43619917,0.2,0.221923828125,1.5572678178548813,0.023720723,87430,0.6178879737854004,0.0003,0.12190783023834229,-2.1723777532577513,-0.044893660396337506
17909760,12.33,184,11,1,-0.53656921,0.2,0.21123046875,1.5441047638654708,0.024837747,87440,0.5828099250793457,0.0003,0.10404694080352783,-2.09396408200264,-0.045515113894362004
17911808,12.23,178,11,1,-0.96555551,0.2,0.196875,1.625571158528328,0.026871119,87450,0.6260349750518799,0.0003,0.11685031652450562,-2.059683308005333,-0.04086387089919299
17913856,12.67,189,10,1,-0.44134845999999994,0.2,0.217236328125,1.5446541488170624,0.025592178,87460,0.6294095516204834,0.0003,0.18907177448272705,-2.0941098809242247,-0.04466572446981445
17915904,13.31,190,10,1,-0.3889203799999999,0.2,0.199072265625,1.506638064980507,0.026908534,87470,0.6408539414405823,0.0003,0.20209860801696777,-2.059825697541237,-0.042843104153871533
17917952,12.27,186,10,1,-0.6461865599999999,0.2,0.2109375,1.29955193400383,0.024875816,87480,0.46005740761756897,0.0003,0.2546597123146057,-2.110530012845993,-0.0457866623532027
17920000,12.74,189,10,1,-0.79712885,0.2,0.210693359375,1.47482388317585,0.025767494,87490,0.6077730059623718,0.0003,0.25820398330688477,-2.093144989013672,-0.0415909361327067
17922048,12.32,190,10,1,-0.74222959,0.2,0.177685546875,1.6384371399879456,0.019646797,87500,0.6712840795516968,0.0003,0.14926791191101074,-2.0801651895046236,-0.037670732801780106
17924096,8.53,174,11,1,-1.05876307,0.2,0.19853515625,1.4653403490781785,0.023625353,87510,0.6291628479957581,0.0003,0.186534583568573,-2.0344046354293823,-0.04105163551867008
17926144,10.0,191,10,1,-1.15861335,0.2,0.155615234375,1.9754290938377381,0.027823534,87520,0.5896533131599426,0.0003,-0.10443377494812012,-2.1546851336956023,-0.02705989140085876
17928192,10.81,188,10,1,-0.8092623900000001,0.2,0.220654296875,1.679315260052681,0.024016734,87530,0.6042184829711914,0.0003,0.21392226219177246,-2.2857900261878967,-0.04249350451864302
