time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range
49152,1,26.39,-0.7082990199999999,335,6,-0.12223327159881592,-4.409711968898773,0.096923828125,0.0003,0.379640669003129,0.013658248,230,-0.03642619035672397,-0.1608928143978119,0.2
51200,1,26.39,-0.7739601999999999,331,6,-0.14662909507751465,-4.374778950214386,0.056201171875,0.0003,0.42719542011618616,0.010783927,240,-0.029149785893969236,-0.14065346121788025,0.2
53248,1,26.04,-0.9234087700000001,333,6,-0.22208690643310547,-4.385910856723785,0.0537109375,0.0003,0.4947758574038744,0.010384588,250,-0.026798766310093924,-0.14338430762290955,0.2
55296,1,26.74,-0.73652666,330,6,-0.16276204586029053,-4.379725670814514,0.068798828125,0.0003,0.5095138024538756,0.011032464,260,-0.027411565417423844,-0.13934370875358582,0.2
57344,1,26.51,-0.8553424,335,6,-0.14070940017700195,-4.3709005355834964,0.1126953125,0.0003,0.4239295102655888,0.012795945,270,-0.035833832051139325,-0.1540287733078003,0.2
59392,1,27.2,-0.7263424700000002,331,6,-0.3525543212890625,-4.377297854423523,0.049365234375,0.0003,0.456282776594162,0.010577096,280,-0.028738461947068573,-0.13391658663749695,0.2
61440,1,26.78,-0.7228679,336,6,-0.009052038192749023,-4.361603736877441,0.085009765625,0.0003,0.44515694603323935,0.012752777,290,-0.034053075849078594,-0.14573991298675537,0.2
63488,1,26.57,-0.63654796,328,6,-0.2375810146331787,-4.378533816337585,0.054296875,0.0003,0.6352718114852905,0.0101648085,300,-0.02663540900684893,-0.07862509787082672,0.2
65536,1,26.03,-0.65774457,326,6,-0.07117390632629395,-4.340699315071106,0.06796875,0.0003,0.4630351707339287,0.010194682,310,-0.030344752280507238,-0.13490453362464905,0.2
67584,1,26.01,-0.9206800000000002,331,6,-0.06032443046569824,-4.357920217514038,0.055078125,0.0003,0.49021041095256807,0.010391182,320,-0.029670121165690944,-0.12030836939811707,0.2
69632,1,26.16,-0.7447790599999999,329,6,-0.19952380657196045,-4.353238165378571,0.055322265625,0.0003,0.5222269646823406,0.011319511,330,-0.02781499717384577,-0.0995948314666748,0.2
71680,1,26.49,-1.0489978400000002,333,6,-0.015645265579223633,-4.332908141613006,0.099560546875,0.0003,0.4472451418638229,0.013108002,340,-0.03637915343279019,-0.14758597314357758,0.2
73728,1,26.32,-0.45566969999999996,330,6,-0.24126434326171875,-4.329919970035553,0.05087890625,0.0003,0.5619812734425068,0.010593509,350,-0.028494172543287278,-0.09307542443275452,0.2
75776,1,26.2,-0.7212469100000001,335,6,0.09265226125717163,-4.344155502319336,0.070654296875,0.0003,0.4804160639643669,0.012026908,360,-0.029793836269527675,-0.11633127927780151,0.2
77824,1,25.9,-0.7415789300000002,329,6,-0.1630568504333496,-4.331198680400848,0.08974609375,0.0003,0.6266142837703228,0.010928625,370,-0.03111052354797721,-0.09567682445049286,0.2
79872,1,26.66,-0.82385672,326,6,-0.25321435928344727,-4.326807606220245,0.077978515625,0.0003,0.5388942927122116,0.011878385,380,-0.028645899228285997,-0.0866432636976242,0.2
81920,1,26.63,-0.6774911,332,6,-0.11178803443908691,-4.329981112480164,0.06669921875,0.0003,0.5051452565938235,0.012272898,390,-0.030763604072853924,-0.12428849190473557,0.2
83968,1,25.78,-0.71745548,332,6,0.003888845443725586,-4.294875693321228,0.1013671875,0.0003,0.41045002080500126,0.013843972,400,-0.03758059914689511,-0.14981813728809357,0.2
86016,1,25.84,-0.6594349300000001,327,6,-0.08442962169647217,-4.312892436981201,0.06826171875,0.0003,0.5463798947632312,0.011100065,410,-0.03091225881362334,-0.11375689506530762,0.2
88064,1,26.09,-0.3818216099999999,330,6,-0.1378237009048462,-4.310192227363586,0.063623046875,0.0003,0.4410007275640965,0.010249025,420,-0.0270443361136131,-0.14642935991287231,0.2
90112,1,25.57,-0.2703062200000001,327,6,0.0586010217666626,-4.2962350130081175,0.07666015625,0.0003,0.46153237037360667,0.012383294,430,-0.03330759297823534,-0.14955419301986694,0.2
