rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss
-1.04453799,223,7.38,9322496,1,9,,,,,,,,,,
-0.6475606500000002,177,7.3,9324544,1,11,45520,1.6491666257381439,0.5617753267288208,0.014950099,0.6577259302139282,0.170703125,0.0003,-1.5816798388957978,0.2,-0.0310370882274583
-1.0552218500000001,183,7.01,9326592,1,11,45530,1.2777768790721893,0.6425502300262451,0.022509746,0.4838760197162628,0.198876953125,0.0003,-1.6015608191490174,0.2,-0.03234780302736908
-0.8150026600000001,187,5.87,9328640,1,10,45540,1.3640342205762863,0.6437123417854309,0.018669814,0.545318603515625,0.16630859375,0.0003,-1.628565114736557,0.2,-0.030119009385816752
1.10282629,331,7.76,9330688,1,6,45550,1.7438450276851654,0.5962074995040894,0.018398114,0.7636998295783997,0.154443359375,0.0003,-1.4361205726861954,0.2,-0.02623353904346004
1.00661597,330,7.81,9332736,1,6,45560,0.4521142907440662,-1.5387115478515625,0.019217614,0.03218770772218704,0.10556640625,0.0003,-1.929675617814064,0.2,-0.019678864162415266
-0.4195981,186,7.49,9334784,1,10,45570,0.4266782980412245,0.17179453372955322,0.029231224,0.10692884027957916,0.214501953125,0.0003,-1.9452496498823166,0.2,-0.03331613570917398
-0.17973566000000002,186,7.88,9336832,1,10,45580,1.8464875251054764,0.27782273292541504,0.015235366,0.7020071744918823,0.164599609375,0.0003,-1.8726264625787734,0.2,-0.02596957575296983
-0.5527195400000001,184,8.05,9338880,1,11,45590,1.6987175583839416,0.3676714301109314,0.021419194,0.7030477523803711,0.188720703125,0.0003,-1.7290496975183487,0.2,-0.034775009471923114
-0.19571854999999996,179,7.82,9340928,1,11,45600,2.0250411450862886,0.1881551742553711,0.016283821,0.8824170827865601,0.155712890625,0.0003,-2.00726161301136,0.2,-0.031168031191919
0.78360423,184,7.4,9342976,1,11,45610,1.858366847038269,0.2722797393798828,0.015800502,0.89475417137146,0.161474609375,0.0003,-2.012971669435501,0.2,-0.028897772869095208
-1.1599536000000001,185,7.06,9345024,1,11,45620,1.1441292345523835,0.22658252716064453,0.015865613,0.47721487283706665,0.141748046875,0.0003,-1.7956377267837524,0.2,-0.028670481010340153
-0.6436480900000001,185,7.28,9347072,1,11,45630,2.176607775688171,0.01726597547531128,0.027627531,0.7429496645927429,0.13046875,0.0003,-2.404646062850952,0.2,-0.023605824913829565
