MODEL 10500 vs ALL
GAMES_PER_OPPONENT=100

ppo_model_3650.zip | W:53 L:47 D:0 | WR:53.00% | AVG_STEPS:8.5
ppo_model_3700.zip | W:49 L:51 D:0 | WR:49.00% | AVG_STEPS:9.4
ppo_model_3750.zip | W:59 L:41 D:0 | WR:59.00% | AVG_STEPS:9.0
ppo_model_3800.zip | W:48 L:52 D:0 | WR:48.00% | AVG_STEPS:8.1
ppo_model_3850.zip | W:49 L:51 D:0 | WR:49.00% | AVG_STEPS:9.7
ppo_model_3900.zip | W:43 L:57 D:0 | WR:43.00% | AVG_STEPS:9.1
ppo_model_3950.zip | W:51 L:49 D:0 | WR:51.00% | AVG_STEPS:9.2
ppo_model_400.zip | W:74 L:26 D:0 | WR:74.00% | AVG_STEPS:8.2
ppo_model_4000.zip | W:46 L:54 D:0 | WR:46.00% | AVG_STEPS:9.7
ppo_model_4050.zip | W:56 L:44 D:0 | WR:56.00% | AVG_STEPS:9.4
ppo_model_4100.zip | W:52 L:48 D:0 | WR:52.00% | AVG_STEPS:8.4
ppo_model_4150.zip | W:61 L:39 D:0 | WR:61.00% | AVG_STEPS:8.1
ppo_model_4200.zip | W:64 L:36 D:0 | WR:64.00% | AVG_STEPS:8.5
ppo_model_4250.zip | W:64 L:36 D:0 | WR:64.00% | AVG_STEPS:9.0
ppo_model_4300.zip | W:80 L:20 D:0 | WR:80.00% | AVG_STEPS:8.9
ppo_model_4350.zip | W:80 L:20 D:0 | WR:80.00% | AVG_STEPS:9.3
ppo_model_4400.zip | W:78 L:22 D:0 | WR:78.00% | AVG_STEPS:8.3
ppo_model_4450.zip | W:87 L:13 D:0 | WR:87.00% | AVG_STEPS:8.7
ppo_model_450.zip | W:73 L:27 D:0 | WR:73.00% | AVG_STEPS:9.7
ppo_model_4500.zip | W:92 L:8 D:0 | WR:92.00% | AVG_STEPS:7.0
ppo_model_4550.zip | W:84 L:16 D:0 | WR:84.00% | AVG_STEPS:8.5
ppo_model_4600.zip | W:91 L:9 D:0 | WR:91.00% | AVG_STEPS:8.2
ppo_model_4650.zip | W:67 L:33 D:0 | WR:67.00% | AVG_STEPS:7.3
ppo_model_4700.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:8.2
ppo_model_4750.zip | W:58 L:42 D:0 | WR:58.00% | AVG_STEPS:8.3
ppo_model_4800.zip | W:53 L:47 D:0 | WR:53.00% | AVG_STEPS:8.3
ppo_model_4850.zip | W:59 L:41 D:0 | WR:59.00% | AVG_STEPS:8.5
ppo_model_4900.zip | W:54 L:46 D:0 | WR:54.00% | AVG_STEPS:8.2
ppo_model_4950.zip | W:67 L:33 D:0 | WR:67.00% | AVG_STEPS:9.1
ppo_model_50.zip | W:99 L:1 D:0 | WR:99.00% | AVG_STEPS:8.2
ppo_model_500.zip | W:65 L:35 D:0 | WR:65.00% | AVG_STEPS:8.0
ppo_model_5000.zip | W:44 L:56 D:0 | WR:44.00% | AVG_STEPS:9.0
ppo_model_5050.zip | W:63 L:37 D:0 | WR:63.00% | AVG_STEPS:8.8
ppo_model_5100.zip | W:59 L:41 D:0 | WR:59.00% | AVG_STEPS:8.8
ppo_model_5150.zip | W:62 L:38 D:0 | WR:62.00% | AVG_STEPS:7.9
ppo_model_5200.zip | W:53 L:47 D:0 | WR:53.00% | AVG_STEPS:6.5
ppo_model_5250.zip | W:50 L:50 D:0 | WR:50.00% | AVG_STEPS:7.4
ppo_model_5300.zip | W:55 L:45 D:0 | WR:55.00% | AVG_STEPS:8.2
ppo_model_5350.zip | W:53 L:47 D:0 | WR:53.00% | AVG_STEPS:8.7
ppo_model_5400.zip | W:62 L:38 D:0 | WR:62.00% | AVG_STEPS:8.8
ppo_model_5450.zip | W:51 L:49 D:0 | WR:51.00% | AVG_STEPS:8.2
ppo_model_550.zip | W:94 L:6 D:0 | WR:94.00% | AVG_STEPS:10.1
ppo_model_5500.zip | W:52 L:48 D:0 | WR:52.00% | AVG_STEPS:8.4
ppo_model_5550.zip | W:58 L:42 D:0 | WR:58.00% | AVG_STEPS:7.4
ppo_model_5600.zip | W:56 L:44 D:0 | WR:56.00% | AVG_STEPS:7.6
ppo_model_5650.zip | W:54 L:46 D:0 | WR:54.00% | AVG_STEPS:8.0
ppo_model_5700.zip | W:56 L:44 D:0 | WR:56.00% | AVG_STEPS:7.7
ppo_model_5750.zip | W:58 L:42 D:0 | WR:58.00% | AVG_STEPS:7.4
ppo_model_5800.zip | W:51 L:49 D:0 | WR:51.00% | AVG_STEPS:7.9
ppo_model_5850.zip | W:61 L:39 D:0 | WR:61.00% | AVG_STEPS:8.7
ppo_model_5900.zip | W:59 L:41 D:0 | WR:59.00% | AVG_STEPS:7.8
ppo_model_5950.zip | W:61 L:39 D:0 | WR:61.00% | AVG_STEPS:8.9
ppo_model_600.zip | W:91 L:9 D:0 | WR:91.00% | AVG_STEPS:9.4
ppo_model_6000.zip | W:70 L:30 D:0 | WR:70.00% | AVG_STEPS:8.8
ppo_model_6050.zip | W:66 L:34 D:0 | WR:66.00% | AVG_STEPS:9.6
ppo_model_6100.zip | W:63 L:37 D:0 | WR:63.00% | AVG_STEPS:8.8
ppo_model_6150.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:9.5
ppo_model_6200.zip | W:66 L:34 D:0 | WR:66.00% | AVG_STEPS:10.1
ppo_model_6250.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:9.0
ppo_model_6300.zip | W:65 L:35 D:0 | WR:65.00% | AVG_STEPS:8.7
ppo_model_6350.zip | W:76 L:24 D:0 | WR:76.00% | AVG_STEPS:8.7
ppo_model_6400.zip | W:80 L:20 D:0 | WR:80.00% | AVG_STEPS:8.9
ppo_model_6450.zip | W:75 L:25 D:0 | WR:75.00% | AVG_STEPS:8.7
ppo_model_650.zip | W:80 L:20 D:0 | WR:80.00% | AVG_STEPS:10.2
ppo_model_6500.zip | W:80 L:20 D:0 | WR:80.00% | AVG_STEPS:9.2
ppo_model_6550.zip | W:84 L:16 D:0 | WR:84.00% | AVG_STEPS:9.1
ppo_model_6600.zip | W:75 L:25 D:0 | WR:75.00% | AVG_STEPS:9.0
ppo_model_6650.zip | W:71 L:29 D:0 | WR:71.00% | AVG_STEPS:8.4
ppo_model_6700.zip | W:66 L:34 D:0 | WR:66.00% | AVG_STEPS:8.0
ppo_model_6750.zip | W:67 L:33 D:0 | WR:67.00% | AVG_STEPS:8.4
